"Caudal","pH","Temperatura","Conductividad","Salinidad","Solidos.Totales","O2","O2p","DBO5","DQO","FT","NT","Turbidez","Coliformes"
0.106524825,7.68,22.1,962,0.4,481,1.09,15,210,503,7.5928,56,370,3300000
0.562042575,7.62,28,999,0.4,500,0.18,2,220,501,5.7011,38,470,1.3e+07
0.82383817,7.61,26.38,1158,0.5,579,0,0,170,433,3.8191,47,240,1.3e+07
0.02327,7.19,21.2,156.4,0,78,5.92,76.6,3,12,0.1375,0.7786,5,350
1.196953,7.49,24.7,943,0.4,472,0.92,12.4,190,299,4.6574,24.6524,220,1.3e+07
0.15441,7.31,17.5,731,0.3,366,1.46,19.1,190,328,7.3346,24.2206,220,4100000
0.24755,7.47,22.7,987,0.4,494,0.19,2.3,250,1310,6.0565,18.7817,290,1.3e+07
0.12247,7.73,21.6,914,0.4,457,1.32,17.8,240,438,6.7188,34.1116,320,6100000
0.536517,7.58,25.8,1179,0.5,590,0.12,1.5,320,711,7.4386,23.7286,320,320000
0.3633,7.49,25.7,938,0.4,470,0.23,4,200,359,5.0465,31.3993,250,93000
0.09042105,7.56,19,647,0.2,324,0.88,11.5,170,458,5.01,26.64,210,9400000
0.876711,7.25,23.7,601,0.2,301,1.01,13.6,450,1106,0.84,19.776,1450,3400000
1.29149,7.73,26,823,0.3,412,0.12,1.3,260,540,5.97,28.752,300,3410000
1.198436,7.58,25.1,844,0.4,422,0.65,8.5,180,910,3.51,21.72,1250,4800000
0.03409,7.44,22.4,170.4,0,85,5.56,73.8,3,13.9,0.1845,0.375,5,1.8
1.27454,7.63,27,1063,0.5,533,1.34,21,160,431,4.39,21.6,350,1700000
0.079549,7.6,27.3,970,0.4,475,0.3,4.1,540,819,7.8,31.48888,560,1.1e+07
0.108431,7.69,19.1,630,0.2,315,1.62,21.9,155,251,3.69,26.05,180,1200000
